Longitude,Latitude,Postcode,Locality,State
148.43642,-34.797676,2726, NSW, NSW
148.266375,-34.969956,2727, NSW, NSW
147.969427,-35.291187,2729, NSW, NSW
148.139262,-35.546185,2730, NSW, NSW
144.560431,-35.860984,2731, NSW, NSW
144.207743,-35.408788,2732, NSW, NSW
143.668646,-35.248306,2735, NSW, NSW
143.402709,-34.981256,2736, NSW, NSW
142.896504,-34.351533,2737, NSW, NSW
142.247737,-34.221418,2738, NSW, NSW
142.198782,-34.157058,2739, NSW, NSW
150.706083,-33.612615,2753, NSW, NSW
150.72326,-33.555525,2754, NSW, NSW
150.734695,-33.313256,2756, NSW, NSW
150.70116,-33.550386,2757, NSW, NSW
150.503201,-33.574931,2758, NSW, NSW
150.618307,-33.732932,2774, Warrimoo, NSW
151.000132,-33.281005,2775, NSW, NSW
150.550992,-33.685363,2776, Faulconbridge, NSW
150.606735,-33.691719,2777, Winmalee, NSW
150.493005,-33.728139,2778, Linden, NSW
150.454196,-33.732466,2779, Hazelbrook, NSW
150.309324,-33.702676,2780, Katoomba, NSW
150.379731,-33.721681,2782, Wentworth Falls, NSW
150.434342,-33.720792,2783, Lawson, NSW
150.417662,-33.729222,2784, Bullaburra, NSW
150.242997,-33.703442,2785, NSW, NSW
150.254571,-33.538581,2786, NSW, NSW
150.08287,-33.940416,2787, NSW, NSW
149.048245,-33.553089,2791, NSW, NSW
149.03167,-33.691957,2792, NSW, NSW
149.550692,-33.516109,2795, NSW, NSW
149.040369,-33.67147,2797, Lyndhurst (Blayney), NSW
149.254275,-33.638309,2799, NSW, NSW
149.094599,-33.255793,2800, NSW, NSW
148.512325,-34.122616,2803, NSW, NSW
148.438999,-33.636896,2805, NSW, NSW
148.33016,-33.379538,2806, NSW, NSW
148.55769,-34.037877,2807, Koorawatha, NSW
148.996514,-33.873956,2808, NSW, NSW
148.406898,-33.969596,2809, NSW, NSW
148.014148,-33.834732,2810, NSW, NSW
149.00401,-32.586472,2820, NSW, NSW
148.140202,-32.256957,2821, NSW, NSW
147.930918,-32.0049,2823, NSW, NSW
147.66693,-31.212412,2824, NSW, NSW
148.624964,-31.67928,2827, NSW, NSW
148.364714,-31.265086,2828, NSW, NSW
148.418299,-30.80329,2829, NSW, NSW
148.637982,-32.303532,2830, NSW, NSW
147.58796,-30.770394,2831, NSW, NSW
148.064076,-29.97521,2832, NSW, NSW
148.577102,-29.451039,2833, NSW, NSW
148.017602,-29.279578,2834, NSW, NSW
145.246674,-31.578904,2835, NSW, NSW
143.57793,-31.15155,2836, NSW, NSW
145.365087,-29.919818,2840, NSW, NSW
149.146859,-31.897919,2842, NSW, NSW
149.759842,-31.792697,2843, NSW, NSW
149.384626,-32.032738,2844, NSW, NSW
150.02137,-33.440876,2845, NSW, NSW
149.949392,-33.190411,2846, NSW, NSW
149.972843,-33.356543,2847, Portland, NSW
149.905053,-32.898589,2848, NSW, NSW
150.248032,-32.946586,2849, NSW, NSW
149.653421,-32.620128,2850, NSW, NSW
149.431169,-32.328051,2852, NSW, NSW
148.793648,-33.318591,2864, NSW, NSW
148.648126,-33.212433,2865, NSW, NSW
148.798644,-33.072216,2866, NSW, NSW
148.573964,-32.902873,2867, NSW, NSW
148.116325,-32.649173,2869, NSW, NSW
148.170049,-33.066833,2870, NSW, NSW
147.834031,-33.479972,2871, NSW, NSW
147.28977,-32.324137,2873, NSW, NSW
147.702461,-32.538831,2874, NSW, NSW
147.503107,-32.814036,2875, NSW, NSW
147.693655,-33.111263,2876, NSW, NSW
146.350294,-32.685729,2877, NSW, NSW
144.308258,-32.897743,2878, Ivanhoe, NSW
143.601611,-32.561799,2879, NSW, NSW
142.211462,-30.656654,2880, NSW, NSW
