place_name,state,postcode,latitude,longitude,lga_name,category
Dulguigan,New South Wales,2484,-28.2790919,153.41826459,Tweed,Regional centres and other regional areas
Dum Dum,New South Wales,2484,-28.38798889,153.35616512,Tweed,Regional centres and other regional areas
Dumaresq,New South Wales,2350,-30.42246567,151.54094245,Armidale,Regional centres and other regional areas
Dumaresq Island,New South Wales,2430,-31.90898573,152.51052916,Mid-Coast,Regional centres and other regional areas
Dumaresq Valley,New South Wales,2372,-29.17223412,151.48491059,Tenterfield,Regional centres and other regional areas
Dumbudgery,New South Wales,2460,-29.30000263,152.52335576,Clarence Valley,Regional centres and other regional areas
Dunbible,New South Wales,2484,-28.37786644,153.39205214,Tweed,Regional centres and other regional areas
Dunbogan,New South Wales,2443,-31.65974231,152.81183363,Port Macquarie-Hastings,Regional centres and other regional areas
Duncans Creek,New South Wales,2340,-31.38693749,151.20288726,Tamworth,Regional centres and other regional areas
Dundee,New South Wales,2370,-29.57645088,151.90884766,Glen Innes Severn,Regional centres and other regional areas
Dundurrabin,New South Wales,2453,-30.1867555,152.52007823,Clarence Valley,Regional centres and other regional areas
Dunedoo,New South Wales,2844,-32.12909237,149.29069396,Warrumbungle,Regional centres and other regional areas
Dungarubba,New South Wales,2480,-28.98582155,153.37623706,Lismore,Regional centres and other regional areas
Dungay,New South Wales,2484,-28.2811829,153.37011789,Tweed,Regional centres and other regional areas
Dungeree,New South Wales,2849,-32.76725501,149.85585501,Mid-Western,Regional centres and other regional areas
Dungog,New South Wales,2420,-32.40466285,151.75246153,Dungog,Regional centres and other regional areas
Dungowan,New South Wales,2340,-31.2278909,151.16265392,Tamworth,Regional centres and other regional areas
Dunkeld (NSW),New South Wales,2795,-33.41095529,149.47611041,Bathurst,Regional centres and other regional areas
Dunmore (NSW),New South Wales,2529,-34.61992878,150.82245485,Shellharbour,Cities and major regional centres
Dunolly (NSW),New South Wales,2330,-32.55541518,151.16861651,Singleton,Regional centres and other regional areas
Dunoon,New South Wales,2480,-28.67365133,153.32695936,Lismore,Regional centres and other regional areas
Duns Creek,New South Wales,2321,-32.61495371,151.64934946,Port Stephens,Regional centres and other regional areas
Dunville Loop,New South Wales,2849,-32.91482184,150.14202319,Lithgow,Regional centres and other regional areas
Dural (Singleton - NSW),New South Wales,2330,-32.57462304,150.86086916,Singleton,Regional centres and other regional areas
Duramana,New South Wales,2795,-33.25462091,149.5512546,Bathurst,Regional centres and other regional areas
Duranbah,New South Wales,2487,-28.31203294,153.52917037,Tweed,Regional centres and other regional areas
Duri,New South Wales,2344,-31.23172177,150.81838501,Tamworth,Regional centres and other regional areas
Duroby,New South Wales,2486,-28.24189017,153.4592225,Tweed,Regional centres and other regional areas
Durran Durra,New South Wales,2622,-35.33954308,149.87155269,Queanbeyan-Palerang,Regional centres and other regional areas
Durras North,New South Wales,2536,-35.62689656,150.29589108,Shoalhaven,Regional centres and other regional areas
Durren Durren,New South Wales,2259,-33.18193704,151.39518996,Central Coast (NSW),Cities and major regional centres
Duval,New South Wales,2350,-30.41511629,151.63733303,Armidale,Regional centres and other regional areas
Dyers Crossing,New South Wales,2429,-32.0821699,152.30760655,Mid-Coast,Regional centres and other regional areas
Dyraaba,New South Wales,2470,-28.77147638,152.84885289,Kyogle,Regional centres and other regional areas
Dyrring,New South Wales,2330,-32.49690662,151.23581541,Singleton,Regional centres and other regional areas
Eagleton,New South Wales,2324,-32.69568684,151.7780686,Port Stephens,Regional centres and other regional areas
East Albury,New South Wales,2640,-36.08911183,146.94071974,Albury,Regional centres and other regional areas
East Ballina,New South Wales,2478,-28.85533828,153.58766361,Ballina,Regional centres and other regional areas
East Branxton,New South Wales,2335,-32.65455266,151.36549219,Cessnock,Regional centres and other regional areas
East Coraki,New South Wales,2471,-29.00863077,153.31277434,Lismore,Regional centres and other regional areas
East Corrimal,New South Wales,2518,-34.37712624,150.91224244,Wollongong,Cities and major regional centres
East Gosford,New South Wales,2250,-33.43497153,151.3541614,Central Coast (NSW),Regional centres and other regional areas
East Gresford,New South Wales,2311,-32.4074161,151.5603626,Dungog,Regional centres and other regional areas
East Jindabyne,New South Wales,2627,-36.40847228,148.66419294,Snowy Monaro,Regional centres and other regional areas
East Kangaloon,New South Wales,2576,-34.52590296,150.60255137,Wingecarribee,Regional centres and other regional areas
East Kempsey,New South Wales,2440,-31.08607549,152.86044709,Kempsey,Regional centres and other regional areas
East Kurrajong,New South Wales,2758,-33.49747088,150.82408504,Hawkesbury,Regional centres and other regional areas
East Lismore,New South Wales,2480,-28.82566625,153.29613456,Lismore,Regional centres and other regional areas
East Lynne,New South Wales,2536,-35.58820657,150.27891557,Shoalhaven,Regional centres and other regional areas
East Maitland,New South Wales,2323,-32.75910484,151.58779863,Maitland,Regional centres and other regional areas
East Seaham,New South Wales,2324,-32.63764142,151.76491233,Port Stephens,Regional centres and other regional areas
East Tamworth,New South Wales,2340,-31.09595549,150.95334399,Tamworth,Regional centres and other regional areas
East Wagga Wagga,New South Wales,2650,-35.12961714,147.4025162,Wagga Wagga,Regional centres and other regional areas
East Wardell,New South Wales,2477,-28.96458051,153.48168115,Ballina,Regional centres and other regional areas
Eatonsville,New South Wales,2460,-29.64287356,152.82949954,Clarence Valley,Regional centres and other regional areas
Ebenezer (NSW),New South Wales,2756,-33.51982121,150.88631869,Hawkesbury,Regional centres and other regional areas
Ebor,New South Wales,2453,-30.41227736,152.3155872,Armidale,Regional centres and other regional areas
Eccleston,New South Wales,2311,-32.25580852,151.48477757,Dungog,Regional centres and other regional areas
Edderton,New South Wales,2333,-32.35906018,150.83639758,Muswellbrook,Regional centres and other regional areas
Eden,New South Wales,2551,-37.02302856,149.89291859,Bega Valley,Regional centres and other regional areas
Eden Creek,New South Wales,2474,-28.58506793,152.90741592,Kyogle,Regional centres and other regional areas
Edenville,New South Wales,2474,-28.69037489,152.95357967,Kyogle,Regional centres and other regional areas
Edgeroi,New South Wales,2390,-30.08665014,149.77473196,Narrabri,Regional centres and other regional areas
Edgeworth,New South Wales,2285,-32.92747517,151.61800758,Lake Macquarie,Cities and major regional centres
Edith (NSW),New South Wales,2787,-33.77878744,149.93733304,Oberon,Regional centres and other regional areas
Edrom,New South Wales,2551,-37.1376035,149.95569906,Bega Valley,Regional centres and other regional areas
Eenaweena,New South Wales,2824,-31.61520466,147.61224992,Warren,Regional centres and other regional areas
Eglinton (NSW),New South Wales,2795,-33.36459626,149.55150989,Bathurst,Regional centres and other regional areas
Eighteen Mile,New South Wales,2460,-29.27818274,152.58857598,Clarence Valley,Regional centres and other regional areas
Elands,New South Wales,2429,-31.6134034,152.27207165,Mid-Coast,Regional centres and other regional areas
Elcombe,New South Wales,2404,-29.85960685,150.31551635,Gwydir,Regional centres and other regional areas
Elderslie (Singleton - NSW),New South Wales,2335,-32.58201785,151.35066511,Singleton,Regional centres and other regional areas
Eleebana,New South Wales,2282,-32.99312168,151.64939759,Lake Macquarie,Cities and major regional centres
Elermore Vale,New South Wales,2287,-32.91807174,151.66192812,Newcastle,Cities and major regional centres
Elizabeth Beach,New South Wales,2428,-32.33271203,152.53834283,Mid-Coast,Regional centres and other regional areas
Ellalong,New South Wales,2325,-32.93164201,151.31586126,Cessnock,Regional centres and other regional areas
Elland,New South Wales,2460,-29.77418248,152.89730973,Clarence Valley,Regional centres and other regional areas
Ellangowan (NSW),New South Wales,2470,-29.03221234,153.09001433,Richmond Valley,Regional centres and other regional areas
Ellenborough,New South Wales,2446,-31.48168887,152.41878016,Port Macquarie-Hastings,Regional centres and other regional areas
Ellerslie (Snowy Valleys - NSW),New South Wales,2729,-35.30887072,147.90894319,Snowy Valleys,Regional centres and other regional areas
Ellerslie (Wentworth - NSW),New South Wales,2648,-33.82412002,142.02798994,Wentworth,Regional centres and other regional areas
Ellerston,New South Wales,2337,-31.77946132,151.32844152,Upper Hunter,Regional centres and other regional areas
Elong Elong,New South Wales,2831,-32.14940883,149.08097078,Dubbo,Regional centres and other regional areas
Elrington,New South Wales,2325,-32.86541503,151.43085678,Cessnock,Regional centres and other regional areas
Elsmore,New South Wales,2360,-29.82608097,151.29439667,Inverell,Regional centres and other regional areas
Eltham (NSW),New South Wales,2480,-28.76072999,153.41129862,Lismore,Regional centres and other regional areas
Emerald Beach,New South Wales,2456,-30.16669919,153.15828795,Coffs Harbour,Regional centres and other regional areas
Emerald Hill,New South Wales,2380,-30.87528832,150.05700555,Gunnedah,Regional centres and other regional areas
Emmaville,New South Wales,2371,-29.38619599,151.55451395,Glen Innes Severn,Regional centres and other regional areas
Empire Bay,New South Wales,2257,-33.50651482,151.36918788,Central Coast (NSW),Regional centres and other regional areas
Empire Vale,New South Wales,2478,-28.92216552,153.51941517,Ballina,Regional centres and other regional areas
Emu Swamp,New South Wales,2800,-33.30204748,149.19589021,Cabonne,Regional centres and other regional areas
Endrick,New South Wales,2622,-35.24069017,150.24813746,Shoalhaven,Regional centres and other regional areas
Enmore (Armidale Regional - NSW),New South Wales,2350,-30.73115397,151.83429719,Armidale,Regional centres and other regional areas
Enngonia,New South Wales,2840,-29.25347405,145.9418971,Bourke,Regional centres and other regional areas
Environa,New South Wales,2620,-35.40864803,149.18259679,Queanbeyan-Palerang,Regional centres and other regional areas
Eraring,New South Wales,2264,-33.06668739,151.51898104,Lake Macquarie,Cities and major regional centres
Eremerang,New South Wales,2877,-32.62434979,146.39796332,Cobar,Regional centres and other regional areas
Erigolia,New South Wales,2669,-33.93153342,146.38746792,Carrathool,Regional centres and other regional areas
Erin Vale,New South Wales,2663,-34.68130217,147.53348642,Junee,Regional centres and other regional areas
Erina,New South Wales,2250,-33.43724166,151.39383763,Central Coast (NSW),Regional centres and other regional areas
Erina Heights,New South Wales,2260,-33.42568424,151.4088276,Central Coast (NSW),Regional centres and other regional areas
Erowal Bay,New South Wales,2540,-35.10391214,150.66924311,Shoalhaven,Regional centres and other regional areas
Errowanbang,New South Wales,2791,-33.53291208,149.03865417,Blayney,Regional centres and other regional areas
Erudgere,New South Wales,2850,-32.57357562,149.49961951,Mid-Western,Regional centres and other regional areas
Esk (NSW),New South Wales,2472,-29.24749549,153.33080929,Clarence Valley,Regional centres and other regional areas
Essington,New South Wales,2787,-33.74060184,149.71389476,Oberon,Regional centres and other regional areas
Estella,New South Wales,2650,-35.07554332,147.35066932,Wagga Wagga,Regional centres and other regional areas
Ettalong Beach,New South Wales,2257,-33.5146012,151.33276415,Central Coast (NSW),Regional centres and other regional areas
Ettamogah,New South Wales,2640,-36.00236641,146.95631542,Albury,Regional centres and other regional areas
Ettrema,New South Wales,2540,-34.89011804,150.29506548,Shoalhaven,Regional centres and other regional areas
Ettrick (NSW),New South Wales,2474,-28.65002446,152.91177114,Kyogle,Regional centres and other regional areas
Euabalong,New South Wales,2877,-33.02405821,146.20015016,Cobar,Regional centres and other regional areas
Euabalong West,New South Wales,2877,-33.05682651,146.39512831,Cobar,Regional centres and other regional areas
Euberta,New South Wales,2650,-35.04919584,147.2102683,Wagga Wagga,Regional centres and other regional areas
Euchareena,New South Wales,2866,-32.94365862,149.11872596,Dubbo,Regional centres and other regional areas
Eucumbene,New South Wales,2628,-36.13615113,148.62647475,Snowy Monaro,Regional centres and other regional areas
Eugowra,New South Wales,2806,-33.41169415,148.35362515,Forbes,Regional centres and other regional areas
Eulah Creek,New South Wales,2390,-30.35994376,150.02315088,Narrabri,Regional centres and other regional areas
Eumungerie,New South Wales,2822,-31.96785611,148.671373,Dubbo,Regional centres and other regional areas
Eunanoreenya,New South Wales,2650,-35.08419607,147.46748699,Wagga Wagga,Regional centres and other regional areas
Eungai Creek,New South Wales,2441,-30.82453182,152.87982381,Nambucca Valley,Regional centres and other regional areas
Eungai Rail,New South Wales,2441,-30.85930455,152.88683632,Nambucca Valley,Regional centres and other regional areas
Eungella (NSW),New South Wales,2484,-28.34879983,153.30498916,Tweed,Regional centres and other regional areas
Eureka (NSW),New South Wales,2480,-28.69024202,153.43758459,Byron,Regional centres and other regional areas
Eurimbla,New South Wales,2867,-32.83895978,148.82758104,Dubbo,Regional centres and other regional areas
Eurobodalla,New South Wales,2545,-36.16812151,149.95907271,Eurobodalla,Regional centres and other regional areas
Euroka,New South Wales,2440,-31.07696468,152.80052572,Kempsey,Regional centres and other regional areas
Euroley,New South Wales,2700,-34.71004723,146.3021418,Narrandera,Regional centres and other regional areas
Eurongilly,New South Wales,2663,-34.93143022,147.79983206,Junee,Regional centres and other regional areas
Eurunderee,New South Wales,2850,-32.51710971,149.60959523,Mid-Western,Regional centres and other regional areas
Euston,New South Wales,2737,-34.25453322,143.03594871,Balranald,Regional centres and other regional areas
Evans Head,New South Wales,2473,-29.11253324,153.42211917,Richmond Valley,Regional centres and other regional areas
Evans Plains,New South Wales,2795,-33.46100969,149.48247212,Bathurst,Regional centres and other regional areas
Eviron,New South Wales,2484,-28.30222403,153.48103828,Tweed,Regional centres and other regional areas
Ewingar,New South Wales,2469,-29.09012696,152.50814574,Clarence Valley,Regional centres and other regional areas
Ewingsdale,New South Wales,2481,-28.63428861,153.54905454,Byron,Regional centres and other regional areas
Exeter (NSW),New South Wales,2579,-34.61474971,150.28744521,Wingecarribee,Regional centres and other regional areas
Failford,New South Wales,2430,-32.08027093,152.44376599,Mid-Coast,Regional centres and other regional areas
Fairholme,New South Wales,2871,-33.29889591,147.37579419,Lachlan,Regional centres and other regional areas
Fairy Hill,New South Wales,2470,-28.76394454,152.98912783,Richmond Valley,Regional centres and other regional areas
Fairy Meadow,New South Wales,2519,-34.39360591,150.89373447,Wollongong,Cities and major regional centres
Falbrook,New South Wales,2330,-32.41906834,151.13255893,Singleton,Regional centres and other regional areas
Falconer,New South Wales,2365,-30.16949274,151.7337744,Armidale,Regional centres and other regional areas
Falls Creek (NSW),New South Wales,2540,-34.99777514,150.59343031,Shoalhaven,Regional centres and other regional areas
Far Meadow,New South Wales,2535,-34.82573723,150.70235933,Shoalhaven,Cities and major regional centres
Fargunyah,New South Wales,2656,-35.12345936,146.74473838,Lockhart,Regional centres and other regional areas
Farley,New South Wales,2320,-32.7339787,151.502382,Maitland,Regional centres and other regional areas
Farmborough Heights,New South Wales,2526,-34.45598174,150.81495374,Wollongong,Cities and major regional centres
Farnham,New South Wales,2820,-32.84557358,149.11606238,Dubbo,Regional centres and other regional areas
Farrants Hill,New South Wales,2484,-28.31859578,153.48501914,Tweed,Regional centres and other regional areas
Farringdon,New South Wales,2622,-35.52338059,149.59906246,Queanbeyan-Palerang,Regional centres and other regional areas
Fassifern (NSW),New South Wales,2283,-32.98661302,151.57679992,Lake Macquarie,Cities and major regional centres
Faulconbridge,New South Wales,2776,-33.68369912,150.55384685,Blue Mountains,Regional centres and other regional areas
Faulkland,New South Wales,2422,-32.07033418,151.89072207,Mid-Coast,Regional centres and other regional areas
Fawcetts Plain,New South Wales,2474,-28.56622364,153.01251909,Kyogle,Regional centres and other regional areas
Federal (NSW),New South Wales,2480,-28.65451533,153.45487413,Byron,Regional centres and other regional areas
Fennell Bay,New South Wales,2283,-32.98417843,151.5965856,Lake Macquarie,Cities and major regional centres
Fern Bay,New South Wales,2295,-32.86426396,151.81323211,Port Stephens,Cities and major regional centres
Fern Gully,New South Wales,2330,-32.54931341,151.19915252,Singleton,Regional centres and other regional areas
Fernances,New South Wales,2775,-33.1916087,151.01127155,Hawkesbury,Regional centres and other regional areas
Fernances Crossing,New South Wales,2325,-33.06636886,151.11580401,Cessnock,Regional centres and other regional areas
Fernbank Creek,New South Wales,2444,-31.42097323,152.8428894,Port Macquarie-Hastings,Regional centres and other regional areas
Fernbrook,New South Wales,2453,-30.34487604,152.61686406,Bellingen,Regional centres and other regional areas
Fernhill,New South Wales,2519,-34.38398492,150.88955077,Wollongong,Cities and major regional centres
Fernleigh,New South Wales,2479,-28.76803139,153.49090669,Ballina,Regional centres and other regional areas
Fernmount,New South Wales,2454,-30.47620109,152.94511089,Bellingen,Regional centres and other regional areas
Fernside,New South Wales,2480,-28.79662545,153.16899664,Lismore,Regional centres and other regional areas
Fernvale (NSW),New South Wales,2484,-28.36581424,153.42042027,Tweed,Regional centres and other regional areas
Ferodale,New South Wales,2318,-32.69052864,151.88189382,Port Stephens,Regional centres and other regional areas
Fifield,New South Wales,2875,-32.84102104,147.45769777,Lachlan,Regional centres and other regional areas
Figtree,New South Wales,2525,-34.43083158,150.84879642,Wollongong,Cities and major regional centres
Findon Creek,New South Wales,2474,-28.3565854,152.87273204,Kyogle,Regional centres and other regional areas
Fine Flower,New South Wales,2460,-29.38454416,152.65529356,Clarence Valley,Regional centres and other regional areas
Fingal Bay,New South Wales,2315,-32.75081731,152.15868333,Port Stephens,Regional centres and other regional areas
Fingal Head,New South Wales,2487,-28.17743737,153.55433391,Tweed,Regional centres and other regional areas
Finley,New South Wales,2713,-35.60613641,145.58498034,Berrigan,Regional centres and other regional areas
Firefly,New South Wales,2429,-32.0874861,152.22767454,Mid-Coast,Regional centres and other regional areas
Fishermans Bay,New South Wales,2316,-32.78510287,152.09528752,Port Stephens,Regional centres and other regional areas
Fishermans Paradise,New South Wales,2539,-35.23038884,150.44497329,Shoalhaven,Regional centres and other regional areas
Fishermans Reach,New South Wales,2441,-30.86887295,152.99835773,Kempsey,Regional centres and other regional areas
Fishers Hill,New South Wales,2421,-32.48580024,151.54106957,Dungog,Regional centres and other regional areas
Fishing Point,New South Wales,2283,-33.05279149,151.59493872,Lake Macquarie,Cities and major regional centres
Fitzgeralds Mount,New South Wales,2799,-33.49304804,149.37561014,Bathurst,Regional centres and other regional areas
Fitzgeralds Valley,New South Wales,2795,-33.52523078,149.39365826,Bathurst,Regional centres and other regional areas
Fitzroy Falls,New South Wales,2577,-34.64914194,150.44628371,Wingecarribee,Regional centres and other regional areas
Five Ways,New South Wales,2873,-32.16566909,146.98176863,Bogan,Regional centres and other regional areas
Flat Tops,New South Wales,2420,-32.44836884,151.81411968,Dungog,Regional centres and other regional areas
Fletcher (NSW),New South Wales,2287,-32.87199959,151.64126122,Newcastle,Cities and major regional centres
Flinders (NSW),New South Wales,2529,-34.58078769,150.84622353,Shellharbour,Cities and major regional centres
Floraville,New South Wales,2280,-33.01203795,151.66325593,Lake Macquarie,Cities and major regional centres
Forbes (NSW),New South Wales,2871,-33.35043285,147.89007796,Forbes,Regional centres and other regional areas
Forbes Creek,New South Wales,2621,-35.42368076,149.50558139,Queanbeyan-Palerang,Regional centres and other regional areas
Forbes River,New South Wales,2446,-31.24300116,152.33755597,Port Macquarie-Hastings,Regional centres and other regional areas
Forbesdale,New South Wales,2422,-32.06890314,151.95928507,Mid-Coast,Regional centres and other regional areas
Fords Bridge,New South Wales,2840,-29.70221212,145.29517515,Bourke,Regional centres and other regional areas
Fordwich,New South Wales,2330,-32.70917583,151.05579233,Singleton,Regional centres and other regional areas
Forest Grove (NSW),New South Wales,2795,-33.39366775,149.67005897,Bathurst,Regional centres and other regional areas
Forest Hill (NSW),New South Wales,2651,-35.14607133,147.46334446,Wagga Wagga,Regional centres and other regional areas
Forest Land,New South Wales,2372,-29.26134261,152.13568808,Tenterfield,Regional centres and other regional areas
Forest Reefs,New South Wales,2798,-33.4644552,149.07821124,Blayney,Regional centres and other regional areas
Forresters Beach,New South Wales,2260,-33.40678425,151.46693386,Central Coast (NSW),Regional centres and other regional areas
Forster (NSW),New South Wales,2428,-32.22171591,152.5518899,Mid-Coast,Regional centres and other regional areas
Fortis Creek,New South Wales,2460,-29.47411858,152.87303963,Clarence Valley,Regional centres and other regional areas
Fosters Valley,New South Wales,2795,-33.62332306,149.54778829,Bathurst,Regional centres and other regional areas
Fosterton,New South Wales,2420,-32.34817873,151.76208127,Dungog,Regional centres and other regional areas
Fountaindale,New South Wales,2258,-33.34769731,151.40113696,Central Coast (NSW),Regional centres and other regional areas
Four Corners,New South Wales,2716,-34.78292295,145.48015414,Murrumbidgee,Regional centres and other regional areas
Four Mile Creek (NSW),New South Wales,2800,-33.42816832,148.94038637,Cabonne,Regional centres and other regional areas
Fowlers Gap,New South Wales,2880,-31.36459512,141.67865349,Unincorporated NSW,Regional centres and other regional areas
Foxground,New South Wales,2534,-34.71317074,150.76081881,Kiama,Cities and major regional centres
Frazer Park,New South Wales,2259,-33.18402528,151.61764624,Central Coast (NSW),Cities and major regional centres
Frazers Creek,New South Wales,2446,-31.39939907,152.61658422,Port Macquarie-Hastings,Regional centres and other regional areas
Frederickton,New South Wales,2440,-31.02582581,152.86048009,Kempsey,Regional centres and other regional areas
Freeburn Island,New South Wales,2464,-29.40270694,153.33309444,Clarence Valley,Regional centres and other regional areas
Freemans,New South Wales,2259,-33.20074783,151.59358717,Central Coast (NSW),Cities and major regional centres
Freemans Reach,New South Wales,2756,-33.56252304,150.79934789,Hawkesbury,Regional centres and other regional areas
Freemans Waterhole,New South Wales,2323,-32.98791595,151.49280424,Lake Macquarie,Regional centres and other regional areas
Freemantle,New South Wales,2795,-33.27591766,149.36172065,Bathurst,Regional centres and other regional areas
French Park,New South Wales,2655,-35.25830632,146.92725451,Lockhart,Regional centres and other regional areas
Frog Rock,New South Wales,2850,-32.46895576,149.68122823,Mid-Western,Regional centres and other regional areas
Frogmore,New South Wales,2586,-34.24612689,148.86670006,Hilltops,Regional centres and other regional areas
Frogs Hollow,New South Wales,2550,-36.76725123,149.81437109,Bega Valley,Regional centres and other regional areas
Frying Pan,New South Wales,2630,-36.15261846,148.80109548,Snowy Monaro,Regional centres and other regional areas
Fullerton,New South Wales,2583,-34.16138589,149.55201273,Upper Lachlan,Regional centres and other regional areas
Fullerton Cove,New South Wales,2318,-32.84054261,151.83777813,Port Stephens,Regional centres and other regional areas
Furracabad,New South Wales,2370,-29.81551839,151.65007551,Glen Innes Severn,Regional centres and other regional areas
Gadara,New South Wales,2720,-35.31075208,148.12784185,Snowy Valleys,Regional centres and other regional areas
Gala Vale,New South Wales,2716,-34.96896681,145.75032245,Murrumbidgee,Regional centres and other regional areas
Galambine,New South Wales,2850,-32.44211707,149.51779083,Mid-Western,Regional centres and other regional areas
Galong,New South Wales,2585,-34.6078935,148.55991174,Hilltops,Regional centres and other regional areas
Galore,New South Wales,2650,-34.98591977,146.82761624,Wagga Wagga,Regional centres and other regional areas
Ganbenang,New South Wales,2790,-33.71031084,150.13225074,Lithgow,Regional centres and other regional areas
Gangat,New South Wales,2422,-32.01901642,152.0741489,Mid-Coast,Regional centres and other regional areas
Ganmain,New South Wales,2702,-34.80767046,147.01856295,Coolamon,Regional centres and other regional areas
Garah,New South Wales,2405,-29.00263797,149.6189836,Moree Plains,Regional centres and other regional areas
Garden Suburb,New South Wales,2289,-32.94621949,151.67881862,Lake Macquarie,Cities and major regional centres
Garema,New South Wales,2871,-33.58477846,147.93411072,Forbes,Regional centres and other regional areas
Garland,New South Wales,2797,-33.75700729,149.03749095,Blayney,Regional centres and other regional areas
Garland Valley,New South Wales,2330,-32.9244806,150.7419132,Singleton,Regional centres and other regional areas
Garoo,New South Wales,2340,-31.4222294,150.96136274,Tamworth,Regional centres and other regional areas
Garra,New South Wales,2866,-33.12026272,148.75515624,Cabonne,Regional centres and other regional areas
Garthowen,New South Wales,2345,-30.86739785,150.90242201,Tamworth,Regional centres and other regional areas
Gateshead,New South Wales,2290,-32.9980843,151.70363344,Lake Macquarie,Cities and major regional centres
Gearys Flat,New South Wales,2441,-31.17139041,152.57611722,Port Macquarie-Hastings,Regional centres and other regional areas
Geehi,New South Wales,2642,-36.34563026,148.24808754,Snowy Valleys,Regional centres and other regional areas
Gelston Park,New South Wales,2650,-35.24330624,147.34662267,Wagga Wagga,Regional centres and other regional areas
Gemalla,New South Wales,2795,-33.50026407,149.84052104,Bathurst,Regional centres and other regional areas
Geneva,New South Wales,2474,-28.61947457,152.97751466,Kyogle,Regional centres and other regional areas
Georges Creek (NSW),New South Wales,2365,-30.13439213,151.20369639,Inverell,Regional centres and other regional areas
Georges Plains,New South Wales,2795,-33.5270009,149.48926359,Bathurst,Regional centres and other regional areas
Georgetown (NSW),New South Wales,2298,-32.90929552,151.7313289,Newcastle,Cities and major regional centres
Georgica,New South Wales,2480,-28.64400512,153.16064795,Lismore,Regional centres and other regional areas
Gerogery,New South Wales,2642,-35.84244594,147.00039286,Greater Hume,Regional centres and other regional areas
Gerringong,New South Wales,2534,-34.74515466,150.8239538,Kiama,Cities and major regional centres
Gerroa,New South Wales,2534,-34.77284517,150.79839467,Kiama,Cities and major regional centres
Geurie,New South Wales,2818,-32.37490037,148.85391451,Dubbo,Regional centres and other regional areas
Ghinni Ghi,New South Wales,2474,-28.62030999,152.77362374,Kyogle,Regional centres and other regional areas
Ghinni Ghinni,New South Wales,2430,-31.88324326,152.54833258,Mid-Coast,Regional centres and other regional areas
Ghoolendaadi,New South Wales,2380,-30.95119897,149.91203065,Gunnedah,Regional centres and other regional areas
Giants Creek,New South Wales,2328,-32.27311441,150.54247873,Muswellbrook,Regional centres and other regional areas
Gibberagee,New South Wales,2469,-29.34579522,153.06020137,Clarence Valley,Regional centres and other regional areas
Gibraltar Range,New South Wales,2370,-29.489853,152.33674289,Glen Innes Severn,Regional centres and other regional areas
Gidginbung,New South Wales,2666,-34.31750266,147.44028744,Temora,Regional centres and other regional areas
Gidley,New South Wales,2340,-30.99636223,150.83754813,Tamworth,Regional centres and other regional areas
Gilgai,New South Wales,2360,-29.88247451,151.123147,Inverell,Regional centres and other regional areas
Gilgandra,New South Wales,2827,-31.71603117,148.60240679,Gilgandra,Regional centres and other regional areas
Gilgooma,New South Wales,2829,-30.70349138,148.57902629,Coonamble,Regional centres and other regional areas
Gilgunnia,New South Wales,2877,-32.44207023,146.07188624,Cobar,Regional centres and other regional areas
Gillenbah,New South Wales,2700,-34.77832488,146.44488978,Narrandera,Regional centres and other regional areas
Gilletts Ridge,New South Wales,2462,-29.63552311,153.10883115,Clarence Valley,Regional centres and other regional areas
Gillieston Heights,New South Wales,2321,-32.76331258,151.51813146,Maitland,Regional centres and other regional areas
Gilmandyke,New South Wales,2795,-33.78363837,149.54586351,Oberon,Regional centres and other regional areas
Gilmore (NSW),New South Wales,2720,-35.40676434,148.18143912,Snowy Valleys,Regional centres and other regional areas
Gin Gin (NSW),New South Wales,2823,-31.9008345,148.09152106,Narromine,Regional centres and other regional areas
Gineroi,New South Wales,2404,-29.73452144,150.49844845,Gwydir,Regional centres and other regional areas
Ginghi,New South Wales,2849,-32.58875064,150.08500802,Mid-Western,Regional centres and other regional areas
Gingkin,New South Wales,2787,-33.88771973,149.95804539,Oberon,Regional centres and other regional areas
Girards Hill,New South Wales,2480,-28.81773244,153.27869883,Lismore,Regional centres and other regional areas
Girilambone,New South Wales,2831,-31.23528789,146.86092644,Bogan,Regional centres and other regional areas
Giro,New South Wales,2422,-31.68069977,151.74556809,Mid-Coast,Regional centres and other regional areas
Girral,New South Wales,2669,-33.66470814,147.14590581,Bland,Regional centres and other regional areas
Girralong,New South Wales,2449,-30.56190012,152.6422298,Nambucca Valley,Regional centres and other regional areas
Girvan,New South Wales,2425,-32.47378757,152.0654631,Mid-Coast,Regional centres and other regional areas
Gladstone (NSW),New South Wales,2440,-31.01299051,152.96187007,Kempsey,Regional centres and other regional areas
Glanmire (NSW),New South Wales,2795,-33.41963919,149.70603913,Bathurst,Regional centres and other regional areas
Glen Alice,New South Wales,2849,-33.06291648,150.15557844,Lithgow,Regional centres and other regional areas
Glen Allen,New South Wales,2631,-36.67860943,149.37729544,Snowy Monaro,Regional centres and other regional areas
Glen Davis,New South Wales,2846,-33.16997193,150.15583791,Lithgow,Regional centres and other regional areas
Glen Elgin,New South Wales,2370,-29.57110496,152.11620973,Glen Innes Severn,Regional centres and other regional areas
Glen Fergus,New South Wales,2630,-36.21530673,149.24737668,Snowy Monaro,Regional centres and other regional areas
