place_name,state,postcode,latitude,longitude,lga_name,category
Bald Ridge,New South Wales,2795,-33.93296962,149.43407905,Oberon,Regional centres and other regional areas
Baldersleigh,New South Wales,2365,-30.27085372,151.42760088,Armidale,Regional centres and other regional areas
Baldry,New South Wales,2867,-32.8881724,148.46770095,Cabonne,Regional centres and other regional areas
Balfours Peak,New South Wales,2403,-29.47019078,150.76445387,Gwydir,Regional centres and other regional areas
Balgownie,New South Wales,2519,-34.38654214,150.87120355,Wollongong,Cities and major regional centres
Balickera,New South Wales,2324,-32.65979081,151.80724266,Port Stephens,Regional centres and other regional areas
Balladoran,New South Wales,2822,-31.89870096,148.5498065,Gilgandra,Regional centres and other regional areas
Ballalaba,New South Wales,2622,-35.61872723,149.6401757,Queanbeyan-Palerang,Regional centres and other regional areas
Balldale,New South Wales,2646,-35.83559338,146.52162585,Federation,Regional centres and other regional areas
Ballengarra,New South Wales,2441,-31.31775733,152.70525705,Port Macquarie-Hastings,Regional centres and other regional areas
Ballimore,New South Wales,2830,-32.19780435,148.88620716,Dubbo,Regional centres and other regional areas
Ballina,New South Wales,2478,-28.83993865,153.55914737,Ballina,Regional centres and other regional areas
Ballyroe,New South Wales,2795,-34.04844956,149.57096365,Oberon,Regional centres and other regional areas
Balmoral (Lake Macquarie - NSW),New South Wales,2283,-33.04578407,151.57902009,Lake Macquarie,Cities and major regional centres
Balranald,New South Wales,2715,-34.33338889,143.41702753,Balranald,Regional centres and other regional areas
Bamarang,New South Wales,2540,-34.90431916,150.51885454,Shoalhaven,Regional centres and other regional areas
Banda Banda,New South Wales,2446,-31.19474363,152.45289284,Port Macquarie-Hastings,Regional centres and other regional areas
Bandon Grove,New South Wales,2420,-32.27066751,151.70149008,Dungog,Regional centres and other regional areas
Bangadang,New South Wales,2729,-35.27328522,147.98480242,Snowy Valleys,Regional centres and other regional areas
Bangalee (NSW),New South Wales,2541,-34.84426734,150.55153426,Shoalhaven,Regional centres and other regional areas
Bangalow,New South Wales,2479,-28.6832752,153.52197112,Byron,Regional centres and other regional areas
Bangheet,New South Wales,2404,-29.83710493,150.41655663,Gwydir,Regional centres and other regional areas
Bango,New South Wales,2582,-34.75680771,148.96696863,Yass Valley,Regional centres and other regional areas
Bannaby,New South Wales,2580,-34.40978939,149.99490492,Upper Lachlan,Regional centres and other regional areas
Bannister (NSW),New South Wales,2580,-34.60635413,149.49127213,Upper Lachlan,Regional centres and other regional areas
Banoon,New South Wales,2347,-30.52594628,150.40836922,Tamworth,Regional centres and other regional areas
